1162,N-LAW,UNDERGRADUATE,Juvenile Deliquency,AL,blerta.arifi
1162,N-LAW,UNDERGRADUATE,Legal Writing and Reasoning,MK,blerton.sinani
1162,N-LAW,UNDERGRADUATE,Legal Writing and Reasoning,AL,blerton.sinani
1162,N-LAW,UNDERGRADUATE,Local Self-Government,AL,blerton.sinani
1162,N-TT,UNDERGRADUATE,English Skills 4,EN,c.kinney
1162,N-TT,UNDERGRADUATE,Teaching from the Multicultural Perspective,EN,c.kinney
1162,N-TT,UNDERGRADUATE,English Language and Theatre ,EN,c.kinney
1162,N-TT,UNDERGRADUATE,Public Relations: Principles and Practices,AL,d.bajrami
1162,N-TT,UNDERGRADUATE,Argumentation and Debate,AL,d.bajrami
1162,LC,UNDERGRADUATE,English Language Level 2 ,EN,d.kiroska
1162,LC,UNDERGRADUATE,English Language Level 4 ,EN,d.kiroska
1162,LC,UNDERGRADUATE,English for specific purposes II  CST  BI ,EN,d.kiroska
1162,LC,UNDERGRADUATE,English for specific purposes  I  BA ,EN,d.kiroska
1162,N-LAW,UNDERGRADUATE,Political Parties and Electoral Systems,MK,d.taleski
1162,N-LAW,UNDERGRADUATE,Local Self-Government,MK,d.taleski
1162,N-PA,MASTER,International Public Law,AL,e.andreevska
1162,N-PA,MASTER,Master Thesis,AL,e.andreevska
1162,N-PA,PHD,Review and Approval of the Doctoral Dissertation P,AL,e.andreevska
1162,N-PA,UNDERGRADUATE,Institutions and Policies of EU,AL,e.andreevska
1162,N-TT,UNDERGRADUATE,Argumentation and Debate,AL,e.azemi
1162,N-PA,PHD,Review and Approval of the Doctoral Dissertation P,AL,e.aziri
1162,N-PA,PHD,Comparative Politics,AL,e.aziri
1162,N-PA,UNDERGRADUATE,Principles of Sociology,AL,e.aziri
1162,N-PA,UNDERGRADUATE,Political Parties and Electoral Models,AL,e.aziri
1162,N-PA,UNDERGRADUATE,Comparative Political Systems,AL,e.aziri
1162,N-TT,UNDERGRADUATE,Swiss and Austrian Civilization,AL,e.cickovski
1162,N-TT,UNDERGRADUATE,Methodology of German as a foreign language  teach,AL,e.cickovski
1162,ELC,UNDERGRADUATE,Advanced IT Skills,AL,e.murtezani
1162,ELC,UNDERGRADUATE,Advanced IT Skills,AL,e.rufati
1162,LC,UNDERGRADUATE,English Language Level 4 ,EN,e.spirovska
1162,LC,UNDERGRADUATE,English for specific purposes I  CST  BI ,EN,e.spirovska
